Doc Id,Offer File,Offer Id,Store File,Store Brand Name,Store Name,Store_Address,Area,City,Store Longitude,Store Latitude
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Connect,,"Sweet Place, Col. J Ali Road, Lakhtokia, Guwahati",Lakhtokia,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Cost Two Cost,,"Kishni Plaza, G S Road, Lachit Nagar, Guwahati",Lachit Nagar,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,EL- Firangi,,"Opposite Guwahati Press Club, Ambari GNB Road, Guwahati",GNB Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Galaxy Hub,,"A-Hiya Square, SS Road, Lakhtokia, Guwahati",SS Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf, oti Mahal Delux,,"Near Flyover GS Road, Ulubari, Guwahati",Ulubari,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,N Eastorn,,"Shop No 1, Sarifa Complex, Near New Live Office, Christian Basti, G S Road, Guwahati",G S Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,New Modern Optical,,"SK Mile Chariali, G S Road, Nilachal Apartment, Guwahati",G S Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Next Digital Home,,"Near Rajdhani Nusery, Zoo Road, Ganeshguri, Guwahati",Zoo Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Oriental Bistro,,"Adityam Building, Lachit Nagar, Bor Thakur Mill Road, Ulubari, Guwahati",Ulubari,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,S S Electronics,,"Amulay's, Near Disco , Zoo Road, Tinali, Guwahati",Zoo Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Santa Fantason,,"200 Road, Near DoordarshanKendra, Guwahati",GS Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Sports Care,,"SC Goswami Road, Pan Bazar, Opp. Hari Sabha, Guwahati",Pan Bazaar,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Sudip Time & Sound Centre,,"Paltan Bazaar, Guwahati",Paltan Bazar,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Swiss Watch,,"SS Road, Lakhtokia, Fancy Bazaar, Guwahati",Fancy Bazaar,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Tayal Mart,,"SS Road, Lakhtokia, Fancy Bazaar, Guwahati",SS Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,The Grill Avenue,,"Opposite Sainik Welfare Bhawan, Rajarh Road, Guwahati",Rajarh Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,The Royal Crown,,"1-tag Plaza, ABC Bus Stoppage, G S Road, Guwahati",G S Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,The Socialite,,"3rd floor, Tirputi Tower, Opposite City Centre, Christian Basti, G S Road, Guwahati",G S Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,The Steaming Mug,,"1A, Mandavi Apartment, GNB Road, Guwahati",GNB Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,UnderDoggs,,"1st Floor, Central Mall, Christian Basti, G S Road, Guwahati",G S Road,Guwahati,,
ffa9cc9f0a1da0592637feeb454919ae,city-guwahati-offer.page,city-guwahati-offer.dcr,store-list-city-guwahati-offer.pdf,Zing Kitchen,,"Asian Complex, Opposite Peter England Showroom, Bhangagarh, G S Road, Guwahati",G S Road,Guwahati,,
