easyday,noida,easyday,"Plot No.1,Sterling Commercial Building, Hazipur, Sector 104, Noida, Uttar Pradesh 201304, India",28.5419552,77.3702273
easyday,noida,easyday,"D75, Central Market, Rampur Jagir Rd, Block C, Beta I, Greater Noida, Uttar Pradesh 201301, India",28.4846422,77.5072908
easyday,noida,easyday,"A-166, Pratap Nagar, Mayur Vihar, new delhi, new delhi 110092, India",28.6043304,77.2932966
easyday,noida,easyday,"Shop.No.10,Pocket C,North Of Lake, Mayur Vihar Phase II, Trilokpuri, new delhi, 110091, India",28.6185293,77.3067069
easyday,noida,easyday,"Bus Stand, H.No.122/24/4,122/24/5, Moolchand Tyagi-Complex, Main Rd, Sant Nagar, new delhi, 11008, India",28.6236727,77.3004482
easyday,noida,easyday,"Khasra No.513, Amrapali Rd, C Block, Sector 44, Noida, Uttar Pradesh 201301, India",28.5543966,77.3372704
easyday,new delhi,easyday,"Plot No. 11, 12, 16, 17 Palam Extension, Sector 7 Dwarka, new delhi, new delhi 110075, India",28.5897616,77.0715471
easyday,new delhi,easyday,"943, G/F, Nehru Road, South Extension, Arjun Nagar, Kotla Mubarakpur, South Extension I, new delhi, new delhi 110003, India",28.572865,77.2267909
easyday,new delhi,easyday,"3575/76, G. F., DARIYA GANJ, Netaji Subhash Marg, Kucha Alam, Kucha Lal Man, Old new delhi, new delhi, new delhi 110002, India",28.6428391,77.2403451
easyday,new delhi,easyday,"WZ-1390/2, Pankha Rd, Block D, Janakpuri, new delhi, new delhi 110058, India",28.608043,77.103941
easyday,new delhi,easyday,"D-78, Main Road, Block B, Shivalik Colony, Malviya Nagar, new delhi, new delhi 110017, India",28.53563,77.208497
easyday,new delhi,easyday,"D- 13A/ 1, Model Town 3rd Main Road, Model Town III, Model Town, new delhi, new delhi 110009, India",28.7079344,77.1849336
easyday,new delhi,easyday,"M-162, Shaheed Rajguru Marg, Block M, Vikaspuri, new delhi, 110018, India",28.6366215,77.0768015
easyday,new delhi,easyday,"D96, Bank St, Baba Gangnath Market, Munirka, new delhi, new delhi 110067, India",28.5561821,77.1731464
easyday,new delhi,easyday,"N-7, L-Block Rd, Block K, Kalkaji, new delhi, new delhi 110019, India",28.5386581,77.2596301
easyday,new delhi,easyday,"PLOT NO. 986, Block E, Saraswati Vihar, Pitam Pura, new delhi, 110034, India",28.695872,77.1298871
easyday,new delhi,easyday,"K, 46, Block E, New Roshanpura, Najafgarh, new delhi, 110043, India",28.6046627,76.9869592
easyday,new delhi,easyday,"Shop No.C, Neb Sarai, 34, IGNOU Main Rd, Bees Sutri Harijan Basti, Sainik Farm, new delhi, new delhi 110068, India",28.508738,77.200717
easyday,new delhi,easyday,"231, Pocket A2, Pocket B, Sector 17 Dwarka, Dwarka, new delhi, 110075, India",28.5875765,77.0299044
easyday,new delhi,easyday,"GF,B, 18, Acharya Niketan, Mayur Vihar, new delhi, new delhi 110091, India",28.607448,77.2943697
easyday,new delhi,easyday,"Kakrola, 412 & 413, G.F, Dwarka, new delhi, new delhi 110075, India",28.618912,77.029217
easyday,new delhi,easyday,"B-3, Krishna Vihar, Opp, Main, Kanjhawala Rd, Budh Vihar Phase I, Budh Vihar, new delhi 110086, India",28.7073179,77.083407
easyday,new delhi,easyday,"Rafi Complex, A-2, Abul Fazal, Kalindi Kunj Rd, Nai Basti, Part 1 Abul Fazal Enclave, Block C, Jamia Nagar, Okhla, new delhi, new delhi 110025, India",28.5613866,77.2935125
easyday,new delhi,easyday,"5844-57,Ground Floor,Ram Durg building, Malka Ganj, Chowk, new delhi 110007, India",28.6781748,77.2074172
easyday,new delhi,easyday," 2012,Ground Floor, Outram Lines Rd, GTB Nagar, new delhi, 110009, India",28.7003274,77.204818
easyday,new delhi,easyday,"Wz-724,Palam Gaon Near Old Syndicate Bank Palam Colony new delhi, Dwarka, new delhi, 110045, India",28.5872114,77.0804359
easyday,gurgaon,easyday,"68, Block B, 122011, Sector 56, Gurugram, Haryana 122011, India",28.4280111,77.0986554
easyday,gurgaon,easyday,"Bharti Airtel Centre, Sub.Major Laxmi Chand Road, Phase-4, Maruti Udyog, Sector 18, Gurugram, Haryana 122021, India",28.4919497,77.0781595
easyday,gurgaon,easyday,"4/9, Rattan Garden, New Colony, Mod, Gurugram, Haryana 122001, India",28.4669429,77.0205089
easyday,gurgaon,easyday,"Sector 1, 545, Major Sushil Aima Marg, Sector 1, Chauma Village, Sector 1, Palam Vihar, Gurugram, Haryana 122017, India",28.5157218,77.0358482
easyday,gurgaon,easyday,"285, 1, New Railway Rd, Adarsh Nagar, Sector 12, Gurugram, Haryana 122001, India",28.4657401,77.0286548
easyday,gurgaon,easyday,"Plot.No.521A,Saini Market, Palam Vihar Rd, C Block, Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",28.5068166,77.0352237
easyday,gurgaon,easyday,"SCO - 34 & 35, Huda Market, Sector 4, Gurugram, Haryana 122001, India",28.4735247,77.0092375
easyday,gurgaon,easyday,"SCO 69, 70, HUDA Market Rd, market of sector 10A, Sector 10A, Gurugram, Haryana 122018, India",28.4412141,77.0080343
easyday,gurgaon,easyday,"Gf, Khasra No. 400, 105, Main Gurjar Market, Mehrauli-Gurgaon Rd, Sultanpur, new delhi, new delhi 110030, India",28.4950525,77.1620887
indian oil,new delhi,Indian Oil Corporation Limited,"new delhi State Office, IOCL, World Trade Centre, 2nd Floor, Babar Road, new delhi, 110001, India",28.631557,77.227222
indian oil,new delhi,Indian Oil Corporation Limited,"New Kondli, R.K. Chowk, Mayur Vihar, Phase-3, Sector G,, new delhi, 110096, India",28.6036505,77.3357624
indian oil,new delhi,Indian Oil Corporation Limited,"Indian Oil Bhavan, Northern Regional Office, 1, Sri Aurobindo Marg, Yusuf Sarai, new delhi, new delhi 110016, India",28.5589423,77.207939
indian oil,new delhi,Indian Oil Corporation Limited,"Mangalam Place, Sector 3, Pitam Pura, new delhi, 110085, India",28.6970035,77.1125929
indian oil,new delhi,Indian Oil Corporation Limited,"Sadar Bazar Road, Palam, Mode, new delhi Cantonment, new delhi, new delhi 110010, India",28.5770549,77.1141673
